Index,Chinese,Pingyin,English
128, 城乡, chéng xiāng, urban and rural; city and
129, 城镇, chéng zhèn, town; city
130, 持有, chí yǒu, hold; possess
131, 冲击, chōngjī, To attack
132, 重建, chóng jiàn, rebuild; reconstruct;
133, 重组, chóng zǔ, reorganization; regroup
134, 崇拜, chóngbài, worship
135, 宠物, chǒngwù, Pet
136, 冲, chōng, punching
137, 出场, chū chǎng, come on the stage; enter
138, 出动, chū dòng, dispatch; start off; call out
139, 出访, chū fǎng, visit a foreign country
140, 出路, chūlù, way out
141, 出面, chū miàn, come forward; appear
142, 出名, chū míng, famous; well -known
144, 出事, chū shì, meet with a mishap; have an
145, 出台, chū tái, introduced; be published
146, 出行, chū xíng, travel; trip; getting around
147, 初等, chū děng, elementary; primary;
148, 除, chú, except
149, 厨师, chú shī, chef; cook
150, 储存, chǔcún, Storage
151, 处处, chù chù, everywhere; in all respects
152, 处长, chù zhǎng, the head of a department;
153, 传出, chuán chū, efferent; come out; come
154, 传媒, chuán méi, media
155, 传输, chuán shū, transmission; transport
156, 传言, chuán yán, hearsay; rumour; pass on a
157, 船员, chuán yuán, crew; crewman; waterman
158, 船长, chuán zhǎng, captain; skipper
159, 船只, chuán zhī, ship; vessel; craft
161, 窗口, chuāng kǒu, window; wicket
162, 创办, chuàng bàn, establish; found
163, 创建, chuàng jiàn, found; establish; creation
164, 创意, chuàng yì, creativity
165, 此处, cǐ chù, here; this place
166, 此次, cǐ cì, this time
167, 此前, cǐ qián, before
168, 此事, cǐ shì, this matter
169, 此致, cǐ zhì, regards; sincerely; with the
170, 次数, cì shù, frequency; number of times
171, 从不, cóng bù, never; never ever
172, 从没, cóng méi, never; never did
173, 醋, cù, vinegar
174, 村庄, cūn zhuāng, village; hamlet
175, 错过, cuò guò, miss; let slip
176, 搭, dā," to match, to take"
177, 搭档, dādàng, partner
178, 搭配, dāpèi, arrange; match
179, 打动, dǎ dòng, move; touch
180, 打断, dǎ duàn, break; interrupt; fracture
182, 打官司, dǎguānsi, To engage in a lawsuit
183, 打牌, dǎ pái, play cards; play mah -jong
184, 打印机, dǎ yìn jī, printer
185, 打造, dǎ zào, build; make; creation
186, 大道, dà dào, main road; avenue
187, 大街, dà jiē, avenue; street; main street
188, 大力, dà lì, energetic; energetically;
189, 大米, dà mǐ, rice
190, 大批, dà pī, large quantity; a smart of;
191, 大赛, dà sài, contest
192, 大师, dà shī, great master; grandmaster;
193, 大使, dà shǐ, ambassador; envoy
194, 待会儿, dāi huìr, after a while; later
195, 担忧, dān yōu, worry; be anxious;
196, 单打, dān dǎ, singles
197, 诞生, dànshēng, Be born
198, 党, dǎng, party
200, 当成, dāng chéng, regard; treat as; take
201, 当天, dāng tiān, that day
202, 当作, dàng zuò, regard as; treat as
203, 档, dàng, pigeonhole; files; archives;
204, 档案, dàng'àn, archives
205, 岛, dǎo, island
206, 到期, dào qī, mature; expire; become due;
207, 盗版, dào bǎn, piracy; illegal copy
208, 道教, dào jiào, Taoism
209, 道歉, dàoqiàn, apologize
210, 低头, dī tóu, head down; lower one's
211, 低温, dī wēn, Low temperature;
212, 滴, dī, drop
213, 抵达, dǐdá, Arrive
214, 抵抗, dǐkàng, resistance
215, 地板, dì bǎn, floor
216, 地名, dì míng, place name
218, 电车, diàn chē, tram; tramcar; streetcar;
219, 电动, diàn dòng, motor -driven; power -driven;
220, 电力, diàn lì, electricity; electric power
221, 电器, diàn qì, electric appliance; electrical
222, 吊, diào, crane
223, 调研, diào yán, research; investigation
224, 跌, diē, fall
225, 定价, dìng jià, fix a price; set price; fixed
226, 定时, dìng shí, timing; definite time
227, 定位, dìng wèi, locate; location; positioning;
228, 动画, dòng huà, cartoon; animation
229, 斗争, dòuzhēng, Struggle
230, 都市, dū shì, metropolis; city
231, 毒品, dúpǐn, narcotics
232, 赌, dǔ, gamble; bet
233, 赌博, dǔbó, gambling
235, 端, duān, end
236, 端午节, uānwǔjié, The Dragon Boat Festival
237, 短片, duǎn piàn, short film
238, 队伍, duìwu, Ranks
239, 对抗, duìkàng, Combat
240, 对外, duì wài, foreign; external
241, 蹲, dūn, squat
242, 多半, duō bàn, most; the greater part;
243, 多方面, duō fāng miàn, multifaceted; in many
244, 多媒体, duō méi tǐ, multimedia
245, 夺, duó, seize; snatch; rob; contend
246, 夺取, duó qǔ, seize; wrest; strive for;
247, 恩人, ēn rén, benefactor
248, 儿科, ér kē, pediatrics; pediatric
250, 发电, fā diàn, generate electricity; power
251, 发放, fā fàng, provide; grant; extend; give
252, 发怒, fā nù, get angry; fly into a rage;
253, 发起, fā qǐ, initiate; sponsor; start;
254, 发言人, fā yán rén, spokesman; spokesperson;
255, 发炎, fāyán, inflammation
256, 法庭, fǎ tíng, court; tribunal
257, 法语, fǎ yǔ, French language
258, 番, fān, Some
259, 番茄, fān qié, tomato
260, 凡是, fánshì, All
261, 繁殖, fánzhí, Reproduction
262, 反抗, fǎnkàng, Resistance
263, 反问, fǎnwèn, rhetorical question
265, 犯, fàn, commit; offend; violate;
266, 犯规, fàn guī, foul
267, 犯罪, fàn zuì, commit a crime; offense;
268, 防范, fáng fàn, be on guard; keep a lookout
269, 防守, fángshǒu, Defense
270, 房价, fáng jià, house price
271, 仿佛, fǎngfú, as if
272, 飞船, fēi chuán, spaceship; airship; dirigible;
273, 飞行员, fēi xíng yuán, aviator; pilot
274, 肺, fèi, lung
275, 分工, fēn gōng, division of labor; divide the
276, 分裂, fēnliè, division
277, 愤怒, fènnù, anger
278, 风暴, fēngbào, Storm
279, 峰会, fēng huì, summit; summit meeting
280, 奉献, fèngxiàn, dedicate
281, 佛, fó, Buddha; Buddhism
283, 服, fú, clothes; dress; serve; take; be
284, 浮, fú, float; swim; superficial;
285, 父女, fù nǚ, father and daughter
286, 父子, fù zǐ, father and son
287, 负, fù, negative; load; loss; defeat;
288, 妇女, fùnǚ, Woman
289, 复苏, fù sū, resuscitate; recovery; come
290, 副（形）, fù, secondary; auxiliary;
291, 副（量）, fù, (measure word)
292, 富人, fù rén, the rich
293, 富有, fù yǒu, rich; wealthy; richness;
294, 改装, gǎi zhuāng, repack; refit; reequip
295, 干涉, gānshè, interference
296, 肝, gān, liver
298, 赶不上, gǎn bú shàng, can't catch up with; fall
299, 赶忙, gǎn máng, hurry; hasten; make haste;
300, 赶上, gǎn shàng, overtake; catch up; emulate;
301, 敢于, gǎn yú, dare to; be bold in; have the
302, 感人, gǎn rén, moving; touching
303, 刚好, gāng hǎo, just; exactly; happen to
304, 岗位, gǎngwèi, post
305, 港口, gǎngkǒu, Port
306, 高层, gāo céng, high level; high class; high -
307, 高档, gāodàng, High-grade
308, 高等, gāo děng, higher; advanced; high; of a
309, 高峰, gāofēng, peak
310, 高考, gāo kǎo, college entrance
311, 高科技, gāo kē jì, high technology; high tech
313, 稿子, gǎo zi, manuscript; draft; sketch
314, 歌唱, gē chàng, sing; singing
315, 歌词, gē cí, lyric; lyrics; libretto
316, 歌星, gē xīng, singer; singing star
317, 革新, gé xīn, innovation; renovation
318, 更是, gèng shì, more; even more
319, 工商, gōng shāng, industry and commerce
320, 公, gōng, public; fair; impartial; male;
321, 公安, gōng ān, public security; police;
322, 公鸡, gōng jī, cock; rooster
323, 公众, gōng zhòng, public
324, 公主, gōngzhǔ, princess
325, 攻击, gōngjī, attack
326, 供给, gōngjǐ, supply
327, 宫, gōng, palace; temple; uterus; place
328, 巩固, gǒnggù, consolidate
329, 贡献, gòngxiàn, contribution
331, 孤独, gūdú, lonely
332, 孤儿, gū ér, orphan
333, 姑姑, gūgu, aunt
334, 古典, gǔdiǎn, classical
335, 股, gǔ, thigh; portion; share; strand
336, 股东, gǔdōng, stockholder
337, 股票, gǔpiào, shares; stock
338, 故障, gùzhàng, fault
339, 顾, gù, look at; look after; attend;
340, 刮, guā, scratch; shave; fleece; extort;
341, 拐, guǎi, abduct; kidnap; turn; crutch
342, 关爱, guān ài, care; caring
343, 关联, guān lián, relevance; relevancy; be
344, 观光, guānguāng, Sightseeing
345, 官司, guān, si lawsuit
346, 管道, guǎn dào, pipeline; channel; tunnel;
348, 广阔, guǎngkuò, wide
349, 轨道, guǐdào, track
350, 跪, guì, kneel
351, 国产, guó chǎn, domestic; made in one's
352, 国歌, guó gē, national anthem
353, 国会, guó huì, parliament ; congress
354, 国旗, guó qí, national flag
355, 国王, guówáng, king
356, 果酱, guǒ jiàng, jam; squish; marmalade
357, 果树, guǒ shù, fruiter; fruit tree
358, 过渡, guòdù, transition
359, 过后, guò hòu, afterwards; later; after
360, 过时, guò shí, obsolete; outdate; outmode;
361, 海报, hǎi bào, poster; playbill
362, 海底, hǎi dǐ, seabed ; seafloor
363, 海军, hǎi jūn, navy
364, 海浪, hǎi làng, sea wave
365, 海外, hǎi wài, overseas; abroad
366, 海湾, hǎi wān, bay; gulf
368, 好（不）容易, hǎo （bù） róng yì, with great difficulty; have a hard time (doing sth.)
369, 好似, hǎo sì, seem; be like
370, 好转, hǎo zhuǎn, get better; improve
371, 好学, hào xué, studious; fond of learning
372, 合约, hé yuē, treaty; contract;
373, 和谐, héxié, Harmonious
374, 核心, héxīn, core
375, 黑夜, hēi yè, night
376, 很难说, hěn nán shuō, hard to say
377, 狠, hěn, ruthless; relentless; firm;
378, 横, héng, harsh and unreasonable;
379, 衡量, héng liáng, weigh; measure; scale;
380, 宏大, hóng dà, grand; great
381, 洪水, hóngshuǐ, Flood
382, 忽略, hūlüè, ignore
383, 壶, hú, pot
385, 户外, hù wài, outdoor
386, 护, hù, protect; shield
387, 花费, huā fèi, spend; expend; cost;
388, 花瓶, huā píng, vase; jardiniere
389, 花生, huāshēng, peanut
390, 化解, huà jiě, resolve; dissolve; defuse;
391, 幻想, huànxiǎng, fantasy
392, 患者, huànzhě, Patient
393, 皇帝, huángdì, Emperor
394, 回应, huí yìng, response; respond
395, 毁, huǐ, destroy; ruin; damage;
396, 会见, huì jiàn, meet with; pay a visit
397, 会长, huì zhǎng, president; chairman;
398, 绘画, huì huà, paint; draw; drawing;
400, 混, hùn, mix; confuse; pass off;
401, 混合, hùnhé, blend
402, 混乱, hùnluàn, confusion
403, 活跃, huóyuè, active
404, 火箭, huǒjiàn, rocket
405, 机动车, jī dòng chē, motor vehicle
406, 机关, jī guān, mechanism; gear; machine -
407, 机械, jīxiè, Mechanics
408, 基督教, jī dū jiào, Christianity; the Christian
409, 激情, jīqíng, Passion
410, 吉利, jí lì, lucky; auspicious; propitious
411, 吉祥, jíxiáng, lucky; auspicious
412, 极端, jíduān, extreme
413, 急救, jí jiù, first aid; emergency
414, 疾病, jíbìng, disease
416, 给予, jǐyǔ, give
417, 加盟, jiā méng, join
418, 家电, jiā diàn, home appliances
419, 家园, jiā yuán, home; homeland;
420, 嘉宾, jiābīn, Distinguished guest
421, 假日, jià rì, holiday
422, 尖, jiān, pointed; shrill; sharp; acute;
423, 监测, jiān cè, monitor
424, 监督, jiāndū, supervise
425, 捡, jiǎn, pick up
426, 简介, jiǎn jiè, brief introduction; synopsis;
427, 剑, jiàn, sword
428, 鉴定, jiàndìng, Appraisal
429, 箭, jiàn, arrow
430, 将军, jiāngjūn, General
431, 讲课, jiǎng kè, teach; lecture
433, 酱油, jiàngyóu, soy sauce
434, 骄傲, jiāo'ào, Proud
435, 焦点, jiāodiǎn, focus
436, 脚印, jiǎo yìn, footprint; footmark; track
437, 觉, jiào, sleep
438, 教堂, jiào táng, church; cathedral; chapel
439, 教育部, jiào yù bù, Ministry of Education
440, 接收, jiē shōu, receive; accept; take over;
441, 揭, jiē, tear off; take off; uncover;
442, 街头, jiē tóu, street
443, 节（动）, jié, economize; save; abridge
444, 节假日, jié jià rì, holidays; festival and holiday
445, 节能, jié néng, energy conservation; energy
446, 节奏, jiézòu, rhythm
447, 杰出, jiéchū, outstanding
448, 截止, jiézhǐ, due
449, 截至, jiézhì, By (time）
451, 解说, jiě shuō, explain orally; comment;
452, 界, jiè, boundary; scope; extent;
453, 界（文艺界）, jiè （wén yì jiè ）, circles; world (circle of literature and art)
454, 借鉴, jièjiàn, take example by
455, 金额, jīn é, money; sum; amount
456, 金钱, jīn qián, money
457, 金融, jīnróng, Finance
458, 尽, jìn, exhaust; finish; to the limit;
459, 进攻, jìngōng, attack
460, 近日, jìn rì, recently; in the past few days
461, 近视, jìn shì, myopia; short sight
462, 惊人, jīng rén, astonishing; amazing;
463, 惊喜, jīng xǐ, surprise; pleasantly surprised
465, 精美, jīng měi, exquisite; elegant; fineness;
466, 精品, jīng pǐn, boutique
467, 井, jǐng, well
468, 景, jǐng, view; scenery; scene;
469, 景点, jǐng diǎn, attractions; scenic spot
470, 净, jìng, clean; empty; net; cleanse;
471, 纠纷, jiūfēn, dissension; tangle
472, 纠正, jiūzhèng, correct
473, 酒水, jiǔ shuǐ, drinks; beverage; booze
474, 救命, jiù mìng, help; save life
475, 救援, jiù yuán, rescue; succor; support
476, 救助, jiù zhù, succour; salvation; help sb.
477, 就是说, jiù shì shuō, that is; in other words;
478, 就算, jiù suàn, even if; granted that
479, 局（量）, jú, (measure word)
481, 据, jù, according to; seize; depend
482, 捐, juān, Donate
483, 捐款, juān kuǎn, donate; donation; donate
484, 捐赠, juān zèng, contribute; donate; present
485, 捐助, juān zhù, offer; contribute; donate;
486, 决策, juécè, make policy
487, 觉悟, juéwù, consciousness
488, 绝, jué, cut off; exhausted;
489, 绝大多数, jué dà duō shù, most of; overwhelming
490, 军队, jūnduì, army
491, 军舰, jūn jiàn, warship; military naval ship
492, 军事, jūnshì, Military
493, 开创, kāi chuàng, start; initiate; begin
494, 开关, kāi guān, switch; power switch
495, 开设, kāi shè, open; set up; establish; offer
497, 开头, kāi tóu, begin; start; beginning
498, 开夜车, kāi yè chē, drive at night; work at night;
499, 看, kàn, see
500, 看管, kān guǎn, look after; guard; watch;
501, 看得见, kàn de jiàn, visible; noticeable
502, 看得起, kàn de qǐ, think highly of; have a good
503, 看好, kàn hǎo, look to further increase;
504, 看作, kàn zuò, see; regard as; look upon
505, 康复, kāng fù, recovery; rehabilitation
506, 抗议, kàngyì, Protest
507, 考场, kǎo chǎng, examination hall;
508, 考题, kǎo tí, examination questions;
509, 科研, kē yán, research; scientific research
510, 客车, kè chē, bus; coach
512, 空军, kōng jūn, air force; air service
513, 口试, kǒu shì, oral examination; oral test
514, 扣, kòu, button
515, 酷, kù, cool; cruel; brutal;
516, 跨, kuà, Cross
517, 快车, kuài chē, express train; express bus
518, 宽阔, kuān kuò, broad; wide; expanse;
519, 矿, kuàng, mine; ore
520, 阔, kuò, wide; broad; rich; vast;
521, 啦, la, auxiliary word
522, 来往, lái wǎng, contact; dealing; intercourse;
523, 赖, lài, rely; poor; bilk ; disclaim
524, 栏目, lánmù, column
525, 蓝领, lán lǐng, blue-collar worker; blue
526, 蓝天, lán tiān, blue sky
528, 牢, láo, fold; pen; prison; jail; durable
529, 老乡, lǎo xiāng, fellow -villager; fellow -
530, 冷气, lěng qì, air conditioning; cool air
531, 冷水, lěng shuǐ, cold water; unboiled water
532, 礼堂, lǐ táng, hall; assembly hall;
533, 理, lǐ, reason; truth; texture; to
534, 理财, lǐ cái, manage finances; conduct
535, 理智, lǐzhì, reasonable
536, 力（影响力）, lì （yǐng xiǎng lì ）, ability; capability (influence)
537, 利, lì, sharp; favourable;
538, 联盟, liánméng, union
539, 联赛, lián sài, league
540, 联手, lián shǒu, join hands
541, 凉鞋, liáng xié, sandal
543, 两手, liǎng shǒu, two hands; dual tactics
544, 聊, liáo, merely; just; a little; slightly;
545, 聊天儿, liáo tiānr, chat
546, 料（动）, liào, expect; anticipate; guess
547, 料（名）, liào, material; feed; stuff; grain
548, 裂, liè, crack; split; flaw
549, 灵活, línghuó, flexible
550, 领取, lǐng qǔ, draw; receive; pull down
551, 领袖, lǐngxiù, leader
552, 另, lìng, another; other; separately
553, 留言, liú yán, leave a message; leave
554, 流感, liú gǎn, flu; influenza
555, 楼道, lóu dào, corridor
556, 楼房, lóu fáng, building; storied building
557, 露, lòu, reveal; show
558, 陆军, lù jūn, army; ground force; land
559, 录像, lù xiàng, video; video tape
561, 路过, lù guò, pass by
562, 露, lù, reveal; expose; show; betray;
563, 旅店, lǚ diàn, inn; hostel; hotel
564, 绿化, lǜ huà, greening; afforest
565, 马车, mǎ chē, carriage; wagon
566, 嘛, ma, (auxiliary word)
567, 埋, mái, cover; bury
568, 馒头, mántou, Steamed buns
569, 慢车, màn chē, slow train; local; slow train
570, 盲人, máng rén, blind; blindman
571, 梅花, méi huā, plum blossom; plum flower
572, 美容, měi róng, beauty; cosmetology
573, 蒙, mēng, cheat; deceive; make a wild
574, 蒙, méng, cover; encounter; come
575, 猛, měng, fierce; violent; abrupt;
576, 棉, mián, cotton
577, 免得, miǎndé, lest
579, 面向, miàn xiàng, turn in the direction of; face;
580, 妙, miào, wonderful; clever; excellent;
581, 灭, miè, destroy; extinguish;
582, 民歌, mín gē, folk song; ballad
583, 民工, mín gōng, migrant workers; civilian
584, 民警, mín jǐng, people's police; people's
585, 民意, mín yì, public opinion; popular will;
586, 民主, mínzhǔ, democratic
587, 名额, míng'é, Places
588, 名胜, míng shèng, a place of interest; scenic
589, 名义, míng yì, name; titular
590, 名誉, míngyù, reputation
591, 明日, míng rì, tomorrow
593, 膜, mó, membrane
594, 磨, mó, rub; wear; grind; polish;
595, 没收, mò shōu, confiscate; expropriate
596, 墨水, mò shuǐ, ink; writing ink
597, 母, mǔ, mother; female
598, 母鸡, mǔ jī, hen
599, 母女, mǔ nǚ, mother and daughter
600, 母子, mǔ zǐ, mother and son; mother and
601, 墓, mù, tomb; grave; mausoleum
602, 拿走, ná zǒu, take away
603, 奶粉, nǎi fěn, milk powder; dried milk
604, 奶牛, nǎi niú, cow; dairy cattle; milk cow
605, 难忘, nán wàng, unforgettable; memorable;
606, 内地, nèi dì, inland; interior; mainland
607, 内外, nèi wài, inside and outside; around
608, 内衣, nèi yī, underwear; underclothes;
609, 能否, néng fǒu, can; whether
611, 扭, niǔ, twist; wrench; sprain;
612, 排行榜, pái háng bǎng, leaderboard; ranking list
613, 派出, pài chū, send; dispatch
614, 判, pàn, discriminate; judge;
615, 盼望, pànwàng, look forward to
616, 泡, pào, bubble; steep; soak
617, 炮, pào, cannon; gun; firecracker;
618, 陪同, péi tóng, accompany; companion
619, 配置, pèi zhì, configuration; deploy
620, 皮球, pí qiú, rubber ball; ball
621, 偏, piān, partial; prejudiced; inclined
622, 贫困, pínkùn, Poor
623, 品牌, pǐn pái, brand
624, 聘请, pìn qǐng, hire; engage; invite
625, 平凡, píngfán, ordinary
626, 平方米, píng fāng mǐ, square metre
628, 平台, píng tái, platform; terrace
629, 评, píng, comment; review; criticize;
630, 评选, píng xuǎn, appraise and elect; choose
631, 屏幕, píngmù, screen
632, 坡, pō, slope
633, 扑, pū, Flutter
634, 铺, pū, spread
635, 欺负, qīfu, bully
636, 奇妙, qímiào, wonderful
637, 企图, qǐtú, Attempt
638, 起点, qǐ diǎn, starting point; outset
639, 起诉, qǐ sù, prosecute; sue; bring a
640, 气氛, qìfēn, atmosphere
641, 恰当, qiàdàng, appropriate
642, 恰好, qià hǎo, just right; exactly right
643, 恰恰, qià qià, just; exactly; precisely
644, 牵, qiān, Pull
645, 铅笔, qiānbǐ, pencil
646, 谦虚, qiānxū, Modest
648, 前来, qián lái, come
649, 潜力, qiánlì, potential
650, 强盗, qiáng dào, robber; bandit
651, 强化, qiáng huà, strengthen; intensify;
652, 强势, qiáng shì, strong; mighty
653, 强壮, qiáng zhuàng, strong; sturdy; robust
654, 桥梁, qiáoliáng, bridge
655, 巧妙, qiǎomiào, clever
656, 茄子, qié zi, eggplant
657, 切实, qièshí, practical
658, 侵犯, qīnfàn, Violation
659, 亲属, qīn shǔ, kinsfolk; relatives; cognate
660, 亲眼, qīn yǎn, with one's own eyes;
661, 倾向, qīngxiàng, inclination
662, 清, qīng, clear; quiet; distinct;
663, 清洁, qīngjié, clean
664, 清洁工, qīng jié gōng, dustman; cleaner
666, 清洗, qīng xǐ, wash; clean; rinse; purge;
667, 情绪, qíngxù, emotion
668, 求职, qiú zhí, job hunting; job wanted
669, 球拍, qiú pāi, racket; racquet
670, 球星, qiú xīng, star
671, 球员, qiú yuán, player
672, 区分, qūfēn, Distinguish
673, 渠道, qúdào, channel
674, 取款, qǔ kuǎn, withdrawal
675, 取款机, qǔ kuǎn jī, ATM; cash dispenser
676, 去掉, qù diào, get rid of; do away with;
677, 权, quán, power; authority; right;
678, 权力, quánlì, power
679, 全力, quán lì, full force; all -out; sparing no
680, 全新, quán xīn, new; brand new
681, 券, quàn, certificate; ticket
683, 却是, què shì, nevertheless; however
684, 让座, ràng zuò, offer one's seat to sb.
685, 热点, rè diǎn, hot spot; hot point
686, 热水, rè shuǐ, hot water
687, 热水器, rè shuǐ qì, water heater; hot -water
688, 热线, rè xiàn, hotline
689, 人权, rén quán, human rights
690, 认同, rèn tóng, identify with; self -identity;
691, 日夜, rì yè, day and night; round the
692, 日语, rì yǔ, Japanese language
693, 融合, róng hé, fuse; merge; mix
694, 融入, róng rù, assimilate into; blend in
695, 如, rú, as; if; according to
696, 如一, rú yī, consistent
697, 乳制品, rǔ zhì pǐn, dairy product
698, 入, rù, enter; join; income
699, 入学, rù xué, admission; start school
700, 若, ruò, like; seem; as; if
702, 赛, sài, match; compete; contest;
703, 赛场, sài chǎng, arena; competition terrain
704, 三明治, sān míng zhì, sandwich
705, 丧失, sàngshī, lose
706, 山峰, shān fēng, mountain peak
707, 山谷, shān gǔ, valley
708, 山坡, shān pō, hillside; mountain slope
709, 伤口, shāng kǒu, wound; cut
710, 伤亡, shāng wáng, injuries and deaths;
711, 伤员, shāng yuán, wounded
712, 商城, shāng chéng, mall
713, 上当, shàngdàng, be fooled
714, 上帝, shàng dì, God
715, 上市, shàng shì, appear on the market; listed
716, 上台, shàng tái, appear on the stage; come
717, 上演, shàng yǎn, perform; staged; put on the
718, 勺, sháo, spoon
720, 舌头, shétou, Tongue
721, 设计师, shè jì shī, designer
722, 涉及, shèjí, Involve
723, 深化, shēn huà, deepen; intensify
724, 深深, shēn shēn, deeply; profoundly; deep
725, 审查, shěnchá, Examination
726, 升级, shēng jí, upgrade; be stepped up;
727, 升学, shēng xué, enter a higher school
728, 升值, shēng zhí, appreciation; appreciate;
729, 生活费, shēng huó fèi, living expenses; cost of
730, 省钱, shěng qián, save money
731, 圣诞节, shèng dàn jié, Christmas
732, 盛行, shèngxíng, Prevalence
733, 师父, shī, fu master; a polite form of
734, 师生, shī shēng, teacher and student
735, 时而, shí'ér, from time to time; now …
737, 时期, shíqī, period
738, 时时, shí shí, often; constantly
739, 时装, shí zhuāng, fashion; fashionable dress
740, 识, shí, knowledge; know;
741, 识字, shí zì, learn to read; literacy
742, 实践, shíjiàn, practice
743, 食欲, shí yù, appetite
744, 市民, shì mín, citizen; city resident
745, 事后, shì hòu, after the event; afterwards
