Index,Chinese,Pingyin,English
82, 超级, chāojí, super
83, 朝, cháo, towards
84, 吵, chǎo, Noisy
85, 吵架, chǎojià, quarrel
86, 衬衫, chènshān, shirt
87, 衬衣, chèn yī, shirt
88, 称为, chēng wéi, call; be called; be known as
89, 成功, chénggōng, Success
90, 成果, chéngguǒ, Achievements
91, 成就, chéngjiù, achievement
92, 成立, chénglì, establish
93, 成熟, chéngshú, mature
94, 成员, chéngyuán, member
95, 成长, chéngzhǎng, Grow up
96, 城, chéng, city; town
97, 城市, chéngshì, City
98, 程度, chéngdù, degree
100, 充满, chōngmǎn, full of
101, 重, zhòng, heavy
102, 初, chū, beginning; start; basis; at the
103, 初（初一）, chū （chū yī）, prefix (first grade of junior high
104, 初步, chūbù, preliminary
105, 初级, chūjí, primary
106, 初中, chū zhōng, junior high school
107, 除了, chúle, except
108, 处理, chǔlǐ, Handle
109, 传, chuán, pass; pass on; hand down; impart;
110, 传播, chuánbō, spread
111, 传来, chuán lái, came; come through
112, 传说, chuánshuō, Legend
113, 创新, chuàngxīn, innovate
114, 创业, chuàngyè, carve out
115, 创造, chuàngzào, create
116, 创作, chuàngzuò, A literary creation
117, 从来, cónglái, Always
119, 从事, cóngshì, Be engaged in
120, 村, cūn, village; hamlet
121, 存, cún, Deposit
122, 存在, cúnzài, existence
123, 错误, cuòwù, error
124, 达到, dádào, Achieve
125, 打破, dǎ pò, break; smash
126, 打听, dǎting, Inquire
127, 大概, dàgài, Probably
128, 大使馆, dàshǐguǎn, Embassy
129, 大约, dàyuē, about
130, 大夫, dàifu, Doctor
131, 代, dài, substitute; replace; take the place
132, 代表, dàibiǎo, representative
133, 代表团, dài biǎo tuán, delegation; mission; deputation
134, 带动, dài dòng, drive; spur
135, 带领, dàilǐng, lead
136, 单元, dānyuán, unit
137, 当初, dāngchū, Original
138, 当地, dāngdì, Local
140, 当中, dāng zhōng, among; in the middle; in the
141, 刀, dāo, knife
142, 导演, dǎoyǎn, director
143, 到达, dàodá, Arrive
144, 到底, dàodǐ, To the end
145, 得分, dé fēn, score
146, 等待, děngdài, wait for
147, 底下, dǐ xià, under; below; beneath
148, 地区, dìqū, region
149, 电视剧, diàn shì jù, TV series; television drama
150, 电视台, diàn shì tái, TV station
151, 电台, diàntái, radio station
152, 电子邮件, diànzǐyóujiàn, E-mail
153, 调, diào, transfer; shift; move
154, 调查, diàochá, investigation
155, 订, dìng, conclude; draw up; order; revise
156, 定期, dìngqī, regular
157, 东部, dōng bù, east
158, 动力, dònglì," power, motivation"
159, 动人, dòng rén, moving; touching
161, 短处, duǎn chù, shortcoming; demerit
162, 短裤, duǎn kù, shorts
163, 短期, duǎn qī, short term
164, 断, duàn, break
165, 队员, duì yuán, team member
166, 对待, duìdài, treat
167, 对方, duìfāng, Other party
168, 对手, duìshǒu, Opponent
169, 对象, duìxiàng, object
170, 顿, dùn, Meal
171, 发表, fābiǎo, Publish
172, 发出, fā chū, issue; send out; give off; emit
173, 发达, fādá, developed
174, 发动, fādòng, Launch
175, 发明, fāmíng, Invention
176, 发生, fāshēng, Happen
177, 发送, fā sòng, send; transmit; dispatch; ship;
178, 发言, fāyán, speak
179, 发展, fāzhǎn, Development
180, 反对, fǎnduì, Opposition
182, 反应, fǎnyìng, reaction
183, 反正, fǎnzhèng, anyway
184, 范围, fànwéi, Range
185, 方式, fāngshì, mode
186, 防, fáng, guard against; defend
187, 防止, fángzhǐ, Prevent
188, 房东, fángdōng, landlord
189, 房屋, fáng wū, houses; buildings; tenement
190, 房租, fáng zū, rent
191, 访问, fǎngwèn, Visit
192, 放到, fàng dào, put to; put into
193, 飞行, fēi xíng, flight; flying
194, 费, fèi, fee; cost
195, 费用, fèi yòng, cost; expenses; outlay
196, 分别, fēnbié, part
197, 分配, fēnpèi, distribution
198, 分组, fēn zǔ, grouping
199, 丰富, fēngfù, rich
200, 风险, fēngxiǎn, risk
201, 否定, fǒudìng, negative
202, 否认, fǒurèn, deny
204, 福, fú, blessing; good fortune
205, 父母, fù mǔ, father and mother; parents
206, 父亲, fùqīn, father
207, 付, fù, pay; commit; hand over
208, 负责, fùzé, Be responsible for
209, 复印, fùyìn, To copy
210, 复杂, fùzá, complex
211, 富, fù, rich
212, 改进, gǎijìn, Improvement
213, 改造, gǎi zào, transform; reform
214, 概念, gàiniàn, concept
215, 赶, gǎn, catch up with
216, 赶到, gǎn dào, arrived; get to
217, 赶紧, gǎnjǐn, Quickly
218, 赶快, gǎnkuài, Come on
219, 敢, gǎn, dare
220, 感冒, gǎnmào, Cold
221, 感情, gǎnqíng, feeling
222, 感受, gǎnshòu, feel
223, 干吗, gàn má, Why
224, 高速, gāo sù, high speed
226, 告别, gàobié, farewell
227, 歌迷, gē mí, fan
228, 歌声, gē shēng, singing
229, 歌手, gē shǒu, singer; vocalist
230, 个人, gèrén, personal
231, 个性, gèxìng, personality
232, 各, gè, various
233, 各地, gè dì, various regions; everywhere
234, 各位, gè wèi, everybody
235, 各种, gè zhǒng, all kinds; various; every kind
236, 各自, gèzì, Each
237, 根本, gēnběn, at all
238, 更加, gèng jiā, more; even more
239, 工厂, gōngchǎng, factory
240, 工程师, gōngchéngshī, Engineer
241, 工夫, gōng, fu time
242, 工具, gōngjù, tool
243, 工业, gōngyè, Industry
244, 工资, gōngzī, wages
245, 公布, gōngbù, Publish
246, 公共, gōng gòng, public; common; community
248, 公民, gōngmín, citizen
249, 公务员, gōng wù yuán, civil servant; public functionary
250, 功夫, gōngfu, Kungfu
251, 功课, gōng kè, homework; schoolwork; classwork
252, 功能, gōngnéng, function
253, 共同, gòngtóng, common
254, 共有, gòng yǒu, have altogether; share; owned by
255, 姑娘, gūniang, girl
256, 古, gǔ, ancient; old
257, 古代, gǔdài, Ancient
258, 故乡, gùxiāng, Hometown
259, 挂, guà, hang
260, 关系, guānxì, relationship
261, 关注, guān zhù, attention; follow with interest; pay
262, 观察, guānchá, observation
263, 观看, guān kàn, watch; view
264, 观念, guānniàn, concept
265, 观众, guānzhòng, Audience
267, 管理, guǎnlǐ, Administration
268, 光, guāng, light
269, 光明, guāngmíng, light
270, 广播, guǎngbō, Radio broadcast
271, 广大, guǎngdà, Vast
272, 规定, guīdìng, Regulations
273, 规范, guīfàn, criterion; rule
274, 国内, guó nèi, domestic; internal
275, 国庆, guó qìng, National Day
276, 果然, guǒrán, Sure enough
277, 果汁, guǒzhī, fruit juice
278, 过程, guòchéng, process
279, 过去（名）, guò qù, past; old; foretime
280, 哈哈, hā hā, ha-ha
281, 海关, hǎiguān, Customs
282, 害怕, hàipà, Fear
283, 行, xíng, That's ok
284, 好好, hǎo hǎo," really good, really nice"
285, 好奇, hàoqí, Be curious
287, 合法, héfǎ, legitimate
288, 合格, hégé, qualified
289, 合理, hélǐ, reasonable
290, 合作, hézuò, cooperation
291, 和平, hépíng, peace
292, 红茶, hóng chá, black tea
293, 红酒, hóng jiǔ, red wine
294, 后果, hòuguǒ, Consequence
295, 后面, hòumiàn, behind
296, 后年, hòu nián, the year after next
297, 互联网, hùliánwǎng, Internet
298, 互相, hùxiāng, each other
299, 划船, huá chuán, row; paddle a boat; go boating
300, 华人, huá rén, Chinese; ethnic Chinese
301, 化（现代化）, huà （xiàn  dài huà）, suffix (modernize; modernization)
302, 话剧, huà jù, drama
303, 话题, huàtí, Topic of conversation
304, 欢乐, huānlè, Happy
305, 环, huán, ring; loop; link; annulus
306, 环保, huán bǎo, environmental protection
308, 会议, huìyì, Meeting
309, 会员, huì yuán, membership
310, 活, huó, live; save; work; living; alive
311, 火（名）, huǒ, fire; anger; temper
312, 机器, jīqì, machine
313, 积极, jījí, positive
314, 基本, jīběn, basic
315, 基本上, jī běn shàng, basically
316, 基础, jīchǔ, Basics
317, 及时, jíshí, timely
318, …极了 …, jí le, extremely; exceedingly
319, 集体, jítǐ, collective
320, 集中, jízhōng, focus
321, 计算, jìsuàn, Calculation
322, 记录, jìlù, Record
323, 记者, jìzhě, Reporter
324, 纪录, jìlù, Record
325, 纪念, jìniàn, Anniversary
326, 技术, jìshù, technology
327, 继续, jìxù, Continue
328, 加工, jiāgōng, machining
330, 加强, jiā qiáng, strengthen; reinforce
331, 家具, jiājù, furniture
332, 家属, jiāshǔ, family members
333, 家乡, jiāxiāng, Hometown
334, 价格, jiàgé, Price
335, 价钱, jià qián, price
336, 价值, jiàzhí, value
337, 架, jià, frame; rack; shelf; stand
338, 坚持, jiānchí, Insist
339, 坚决, jiānjué, firm
340, 坚强, jiānqiáng, Firm
341, 简单, jiǎndān, simple
342, 简直, jiǎnzhí, simply
343, 建, jiàn, build; construct; erect; establish;
344, 建成, jiàn chéng, built up
345, 建立, jiànlì, establish
346, 建设, jiànshè, build
347, 建议, jiànyì, proposal
348, 将近, jiāngjìn, nearly
349, 将来, jiānglái, future
351, 交警, jiāo jǐng, traffic police
352, 交流, jiāoliú, Communication
353, 交往, jiāowǎng, affiliate with
354, 交易, jiāoyì, transaction
355, 叫（介）, jiào, (preposition)
356, 较, jiào, compare; comparatively; relatively;
357, 教材, jiàocái, teaching material
358, 教练, jiàoliàn, coach
359, 结实, jiēshi, strong
360, 接待, jiēdài, Reception
361, 接近, jiējìn, near
362, 节约, jiéyuē, save
363, 结合, jiéhé, Combination
364, 结婚, jiéhūn, marry
365, 结束, jiéshù, End
366, 解决, jiějué, Solve
367, 解开, jiě kāi, undo; untie; unfasten; unbutton
368, 金, jīn, gold
369, 金牌, jīn pái, gold medal
370, 仅, jǐn, only; merely; barely
372, 尽量, jǐnliàng, as far as possible
373, 紧, jǐn, tight; close; urgent; strict
374, 紧急, jǐnjí, urgent
375, 紧张, jǐnzhāng, Nervous
376, 进步, jìnbù, progress
377, 进一步, jìn yí bù, go a step further; further
378, 进展, jìnzhǎn, evolve; get along
379, 近期, jìn qī, recent
380, 京剧, jīngjù, Beijing opera
381, 经济, jīngjì, Economics
382, 经历, jīnglì, experience
383, 经验, jīngyàn, experience
384, 经营, jīngyíng, Management
385, 精彩, jīngcǎi, Marvellous
386, 精神, jīngshén," spirit, mind"
387, 精神, jīngshen," lively, vigour"
388, 景色, jǐngsè, scenery
389, 警察, jǐngchá, Police
390, 静, jìng, silent; quiet; calm
391, 久, jiǔ, long
392, 旧, jiù, used
394, 就是, jiù shì, precisely; exactly; just like
395, 就业, jiùyè, take up an occupation
396, 举办, jǔbàn, hold
397, 具体, jùtǐ, specific
398, 具有, jù yǒu, possess; have; be provided with
399, 剧场, jù chǎng, theater
400, 据说, jùshuō, allegedly
401, 决定, juédìng, Decision
402, 决赛, juésài, Finals
403, 决心, juéxīn, Determination
404, 绝对, juéduì, Absolutely
405, 咖啡, kāfēi, Coffee
406, 开发, kāifā, Development
407, 开放, kāifàng, To open up
408, 开始, kāishǐ, start
409, 开业, kāi yè, start business; open a private
410, 开展, kāizhǎn, Develop
411, 看起来, kàn qǐ lái, look like
412, 看上去, kàn shàng qù, seem
413, 考验, kǎoyàn, test
415, 可靠, kěkào, reliable
416, 可乐, kě lè, coke; cola
417, 克服, kèfú, Overcome
418, 客观, kèguān, objective
419, 课程, kèchéng, curriculum
420, 空, kōng, empty
421, 空调, kōngtiáo, Air conditioner
422, 恐怕, kǒngpà, I'm afraid
423, 空儿, kòngr, free time
424, 裤子, kùzi, trousers
425, 快速, kuài sù, fast; high -speed
426, 困, kùn, sleepy
427, 困难, kùnnán, difficulty
428, 浪费, làngfèi, Waste
429, 老百姓, lǎobǎixìng, Ordinary people
430, 老板, lǎobǎn, Boss
431, 老太太, lǎo tài, tai old lady
432, 老头儿, lǎo tóur, old man
433, 乐, lè, happy; laugh; cheerful
434, 乐观, lèguān, optimistic
435, 类, lèi, class; category; kind; type
437, 离婚, líhūn, divorce
438, 里面, lǐ miàn, inside; interior
439, 理发, lǐfà, Haircut
440, 理解, lǐjiě, Understand
441, 理论, lǐlùn, theory
442, 理由, lǐyóu, Reason
443, 力, lì, power; force
444, 力量, lìliàng, Power
445, 立刻, lìkè, immediately
446, 利用, lìyòng, utilize
447, 连, lián, even
448, 连忙, liánmáng, Hurriedly
449, 连续, liánxù, serial
450, 连续剧, lián xù jù, series; soap opera
451, 联合, liánhé, union
452, 联合国, lián hé guó, United Nations
453, 联系, liánxì, contact
454, 凉水, liáng shuǐ, cold water; unboiled water
455, 了, le, past tense marker
456, 领, lǐng, lead; receive; get; understand
457, 领导, lǐngdǎo, Leader
459, 另外, lìngwài, in addition
460, 另一方面, lìng yì fāng miàn, on the other hand
461, 留学, liúxué, Overseas Study
462, 龙, lóng, dragon
463, 录, lù, record; write down; copy
464, 录音, lùyīn, Sound recording
465, 路线, lù xiàn, path; route; way; line
466, 旅馆, lǚ guǎn, hotel
467, 旅行社, lǚ xíng shè, travel agency
468, 绿茶, lǜ chá, green tea
469, 乱, luàn, chaos
470, 落后, luòhòu, backward
471, 麻烦, máfan, trouble
472, 马, mǎ, Horse
473, 满足, mǎnzú, satisfy
474, 慢慢, màn màn, slowly
475, 毛（名）, máo, a fractional unit of money in
476, 毛病, máobìng, Trouble
477, 没用, méi yòng, useless
478, 媒体, méitǐ, media
480, 美, měi, beautiful; pretty
481, 美好, měi hǎo, fine; happy; glorious
482, 美丽, měilì, beautiful
483, 美食, měi shí, delicious food ; gourmet
484, 美术, měishù, Fine Arts
485, 美元, měi yuán, U.S. dollar
486, 迷, mí, fan; confused; be crazy about
487, 米（名）, mǐ, meter; rice
488, 面对, miànduì, Face
489, 面积, miànjī, The measure of area
490, 民间, mínjiān, nongovernmental
491, 民族, mínzú, Nation
492, 明确, míngquè, To make clear
493, 明显, míngxiǎn, obvious
494, 命运, mìngyùn, fate
495, 某, mǒu, some
496, 母亲, mǔqīn, mother
497, 木头, mùtou, wood
498, 目标, mùbiāo, target
499, 目前, mùqián, at present
500, 奶茶, nǎi chá, milk tea
502, 南部, nán bù, south
503, 难道, nándào, could it be said that …
504, 难度, nán dù, difficulty
505, 内, nèi, within
506, 内容, nèiróng, content
507, 内心, nèi xīn, heart; inner centre
508, 能不能, néng bù néng, can or not
509, 能力, nénglì, ability
510, 年初, nián chū, beginning of the year
511, 年代, niándài, years
512, 年底, nián dǐ, end of the year
513, 年纪, niánjì, Age
514, 念, niàn, Read
515, 牛（名）, niú, cattle; ox; cow
516, 农村, nóngcūn, countryside
517, 农民, nóngmín, farmer
518, 农业, nóngyè, Agriculture
519, 女子, nǚ zǐ, woman; female
520, 暖和, nuǎnhuo, warm
521, 怕（副）, pà, perhaps; afraid
522, 拍, pāi, beat
524, 排名, pái míng, rank
525, 牌子, pái zi, brand; trademark; plate; sign
526, 派, pài, send
527, 判断, pànduàn, judge
528, 胖, pàng, fat
529, 跑步, pǎobù, Run
530, 配, pèi, match; mix; join; fit
531, 配合, pèihé, Coordination
532, 批评, pīpíng, criticism
533, 批准, pīzhǔn, Approval
534, 皮, pí, skin; leather; fur; cover; sheet
535, 皮包, pí bāo, purse; briefcase; portfolio
536, 啤酒, píjiǔ, Beer
537, 票价, piào jià, ticket price; fare
538, 评价, píngjià, evaluation
539, 苹果, píngguǒ, Apple
540, 破, pò, broken
541, 破坏, pòhuài, Destruction
542, 普遍, pǔbiàn, universal
543, 普及, pǔjí, Universal
545, 齐, qí, together; uniform; neat; be level
546, 其次, qícì, Secondly
547, 其实, qíshí, actually
548, 奇怪, qíguài, strange
549, 气候, qìhòu, climate
550, 千万, qiānwàn, Must
551, 前后, qián hòu, front and back; from start to
552, 前进, qián jìn, advance; go forward; march
553, 前面, qiánmiàn, Front
554, 前往, qián wǎng, go to; leave for; proceed
555, 强, qiáng, strong; powerful; better
556, 强大, qiáng dà, powerful; formidable; strong
557, 强调, qiángdiào, Emphasize
558, 强烈, qiángliè, strong
559, 桥, qiáo, Bridge
560, 巧, qiǎo, opportunely; skilful; deceitful
561, 亲, qīn, dear; close; intimate; relative
562, 亲切, qīnqiè, kind
563, 亲人, qīn rén, relative
565, 情感, qíng gǎn, feeling; emotion
566, 情况, qíngkuàng, Situation
567, 请教, qǐngjiào, Consult
568, 庆祝, qìngzhù, Celebrate
569, 球迷, qiúmí, fans (ball game)
570, 区, qū, area; district; region
571, 区别, qūbié, Difference
572, 取消, qǔxiāo, cancel
573, 去世, qùshì, Death
574, 全场, quán chǎng, the whole audience
575, 全面, quánmiàn, comprehensive
576, 全球, quán qiú, global; the whole world
577, 缺, quē, be short of; lack
578, 缺点, quēdiǎn, shortcoming
579, 缺少, quēshǎo, Lack
580, 确保, quèbǎo, ensure
581, 确定, quèdìng, Determine
582, 确实, quèshí, Exactly
583, 裙子, qúnzi, skirt
584, 群, qún, group
585, 热爱, rè'ài, Ardently love
587, 人才, réncái, talented person
588, 人工, réngōng, artificial
589, 人类, rénlèi, Human beings
590, 人民, rén mín, people
591, 人民币, rénmínbì, RMB
592, 人群, rén qún, crowd; throng
593, 人生, rénshēng, Life
594, 人员, rényuán, personnel
595, 认出, rèn chū, recognize; identify; make out
596, 认得, rèn dé, know; recognize
597, 认可, rènkě, certificate; ratify
598, 任（动）, rèn, appoint; assign
599, 任（连）, rèn," no matter (how, what, etc.)"
600, 任何, rènhé," whatever, any"
601, 任务, rènwu, task
602, 仍, réng, still; remain; yet
603, 仍然, réngrán, still
604, 日常, rìcháng, daily
605, 容易, róngyì, easily
606, 如何, rúhé, How
607, 散步, sànbù, Take a walk
609, 沙子, shā zi, sand; grit
610, 伤, shāng, hurt; be harmful; be distressed;
611, 伤心, shāngxīn, Sad
612, 商品, shāngpǐn, commodity
613, 商业, shāngyè, business
614, 上来, shàng lái, come up
615, 上面, shàng miàn, above; on top of
616, 上去, shàng qù, go up
617, 上升, shàng shēng, rise; go up
618, 上衣, shàng yī, upper outer garment; jacket; coat
619, 设备, shèbèi, equipment
620, 设计, shèjì, Design
621, 设立, shèlì, Establish
622, 社会, shèhuì, Socioty
623, 身份证, shēn fèn zhèng, ID card
624, 深, shēn, deep
625, 深刻, shēnkè, profound
626, 深入, shēn rù, go deep into; thorough
627, 升, shēng, rise
629, 生产, shēngchǎn, production
630, 生存, shēngcún, Existence
631, 生动, shēngdòng, vivid
632, 生命, shēngmìng, life
633, 生意, shēngyi, business
634, 生长, shēngzhǎng, grow
635, 声明, shēngmíng, statement
636, 胜, shèng, win; defeat; beat; can bear; be
637, 胜利, shènglì, victory
638, 失去, shīqù, Lose
639, 石头, shítou, stone
640, 石油, shíyóu, petroleum
641, 时, shí, time; times; hour; season; tense
642, 时代, shídài, times
643, 时刻, shíkè, time
644, 实际上, shí jì shàng, actually
645, 实力, shílì, Strength
646, 实行, shíxíng, Implement
647, 实验, shíyàn, Experiment
648, 实验室, shí yàn shì, laboratory
650, 使, shǐ, make
651, 始终, shǐzhōng, Throughout
652, 世纪, shìjì, century
653, 世界, shìjiè, world
654, 世界杯, shì jiè bēi, World Cup
655, 市场, shìchǎng, market
656, 事故, shìgù, Accident
657, 事件, shìjiàn, Event
658, 事实, shìshí, Fact
659, 事实上, shì shí shàng, in fact; actually
660, 事业, shìyè, career
661, 试题, shì tí, test questions
662, 试验, shìyàn, test
663, 适合, shìhé, Fit
664, 适应, shìyìng, Adapt
665, 适用, shì yòng, be applicable; be suitable
666, 室, shì, room
667, 收费, shōu fèi, collect fees; charge
668, 收看, shōu kàn, watch
669, 收听, shōu tīng, listen to; listen in
670, 收音机, shōuyīnjī, radio
672, 手指, shǒuzhǐ, finger
673, 首都, shǒudū, capital
674, 首先, shǒuxiān, First
675, 受, shòu, be subjecte; suffer; receive;
676, 受伤, shòushāng, Injured
677, 书架, shūjià, bookshelf
678, 输, shū, lose
679, 输入, shūrù, import; input
680, 熟人, shú rén, acquaintance
681, 属, shǔ, be born in the year of (one of the
682, 属于, shǔyú, belong to
683, 束, shù, beam
684, 数量, shùliàng, quantity
685, 双, shuāng, double
686, 双方, shuāngfāng, both sides
687, 思想, sīxiǎng, thought
688, 死, sǐ, die
689, 速度, sùdù, speed
690, 随, suí, follow; comply with; adapt
692, 所长, suǒ zhǎng, superintendent
693, 台, tái, platform
694, 谈, tán, talk
695, 谈话, tán huà, conversation; talk; chat
696, 谈判, tánpàn, negotiation
697, 汤, tāng, soup
698, 糖, táng, sugar
699, 特色, tèsè, characteristic
700, 提前, tíqián, Advance
701, 提问, tíwèn, Put questions to
702, 题目, tímù, subject
703, 体会, tǐhuì, Experience
704, 体现, tǐxiàn, Reflect
705, 体验, tǐyàn, experience; taste
706, 天空, tiānkōng, sky
707, 甜, tián, sweet
708, 调, tiáo, suit well; mix; adjust; fit in
709, 调整, tiáozhěng, adjustment
710, 跳, tiào, jump; leap; skip; bounce
711, 跳高, tiào gāo, high jump
713, 跳远, tiào yuǎn, long jump; broad jump
714, 铁, tiě, iron
715, 铁路, tiě lù, railway; railroad
716, 听力, tīng lì, hearing; aural comprehension
717, 听众, tīng zhòng, audience; listeners
718, 停止, tíng zhǐ, stop; cease; suspend; call off; halt
719, 通常, tōngcháng, usually
720, 通信, tōng xìn, communicate; correspond
721, 同意, tóngyì, Agree
722, 痛（形）, tòng, sore; painful; sad
723, 痛苦, tòngkǔ, Pain
724, 头（形）, tóu, lead; head
725, 头脑, tóu nǎo, mind; brain
726, 突出, tūchū, prominent
727, 突然, tūrán, suddenly
728, 图, tú, picture; chart; drawing; scheme;
729, 图画, tú huà, drawing; picture; painting
730, 土（名）, tǔ, soil; earth; land; ground
731, 团, tuán, group
732, 团结, tuánjié, Unite
734, 推动, tuī dòng, promote; push forward; give
735, 推广, tuīguǎng, Extension
736, 推进, tuī jìn, advance; carry forward; push on;
737, 推开, tuī kāi, push away
738, 退, tuì, retreat
739, 退出, tuì chū, drop out; quit; withdraw
740, 退休, tuìxiū, retire
741, 外交, wàijiāo, diplomacy
742, 外面, wài miàn, outside; outdoors; outward
743, 外文, wài wén, foreign language
744, 完美, wánměi, perfect
745, 完善, wánshàn," perfect, consummate"
746, 完整, wánzhěng, complete
747, 玩具, wánjù, Toys
748, 往往, wǎngwǎng, Often
749, 危害, wēihài, Harm
750, 危险, wēixiǎn, danger
751, 为（动）, wéi, act as; become; be; mean
753, 围, wéi, enclose; surround; circle
754, 伟大, wěidà, great
755, 卫生, wèi shēng, hygiene; health; sanitation
756, 卫生间, wèishēngjiān, toilet
757, 为了, wèile, in order to
758, 温暖, wēnnuǎn, warm
759, 文化, wénhuà, Culture
760, 文件, wénjiàn, file
761, 文明, wénmíng, civilization
762, 文学, wénxué, literature
763, 文章, wénzhāng, Article
764, 文字, wénzì," writing, character"
765, 握手, wòshǒu, Handshake
766, 屋子, wūzi, House
767, 武器, wǔqì, arms
768, 武术, wǔshù, A martial art
769, 舞台, wǔ tái, stage; arena
770, 西部, xī bù, west
771, 希望, xīwàng, hope
772, 系, xì, department
773, 下来, xià lái, come down; get down
775, 下去, xià qù, go down; descend; go on;
776, 先进, xiānjìn, advanced
777, 显得, xiǎnde, Appear
778, 显然, xiǎnrán, Obviously
779, 显示, xiǎnshì, display
780, 现场, xiànchǎng, scene
781, 现代, xiàndài, modern
782, 现金, xiànjīn, cash
783, 现实, xiànshí, reality
784, 现象, xiànxiàng, phenomenon
785, 线, xiàn, thread; string; wire; line; route
786, 相比, xiāng bǐ, compare; compare to
787, 相当, xiāngdāng, Quite
788, 相关, xiāngguān, correlate
789, 相互, xiāng hù, mutual; reciprocal; each other
790, 相似, xiāngsì, Be similar
791, 香, xiāng, fragrant
792, 香蕉, xiāngjiāo, Banana
793, 消费, xiāofèi, consumption
794, 消失, xiāoshī, disappear
796, 效果, xiàoguǒ, Effect
797, 写作, xiězuò, writing
798, 血, xuè, blood
799, 心, xīn, heart; feeling; centre; core
800, 信（动）, xìn, believe; trust
801, 信封, xìnfēng, envelope
802, 信任, xìnrèn, trust
803, 行李, xíng lǐ, luggage; baggage
804, 形成, xíngchéng, formation
805, 形式, xíngshì, form
806, 形象, xíngxiàng, image
807, 形状, xíngzhuàng, shape
808, 幸福, xìngfú, happiness
809, 幸运, xìngyùn, Lucky
810, 性（积极性）, xìng （jī jí xìng）, as a suffix (positivity)
811, 性别, xìngbié, Gender
812, 性格, xìnggé, character
813, 修, xiū, repair; build; embellish; study
814, 修改, xiūgǎi, modify
815, 需求, xūqiú, demand
816, 需要, xūyào, Need
818, 宣传, xuānchuán, Propaganda
819, 选手, xuǎnshǒu, Player
820, 学费, xué fèi, tuition fee; tuition; school fee
821, 训练, xùnliàn, train
822, 压, yā, press; push; keep under control;
823, 压力, yālì, pressure
824, 烟, yān, smoke; tobacco; be irritated by
825, 眼前, yǎn qián, now; at the moment; before one's
826, 演, yǎn, play; act; perform
827, 演唱, yǎn chàng, sing
828, 演唱会, yǎn chàng huì, concert
829, 演出, yǎnchū, show
830, 演员, yǎnyuán," performer, actor"
831, 羊, yáng, sheep
832, 阳光, yángguāng, Sunshine
833, 要是, yàoshi, If
834, 衣架, yī jià, hanger; clothes stand; clothes tree
835, 一切, yíqiè, everything
837, 以来, yǐlái, Since
838, 一方面, yì fāng miàn, on the one hand
839, 艺术, yìshù, Art
840, 意外, yìwài, Accident
841, 意义, yìyì, Significance
