Index,Chinese,Pingyin,English
118, 哥哥｜哥, gē ge ｜ gē, elder brother
119, 歌, gē, song
120, 个, gè, individual
121, 给, gěi, give
122, 跟, gēn, with
123, 工人, gōngrén, Worker
124, 工作, gōngzuò, work
125, 关（动）, guān, shut; close; turn off
126, 关上, guān shàng, close;shut to; turn off
127, 贵, guì, noble
128, 国, guó, country; state; nation
130, 国外, guó wài, foreign; oversea; abroad
131, 过, guò, pass
132, 还, hái, also; still; yet
133, 还是, háishi, still
134, 还有, hái yǒu, also; in addition; besides
135, 孩子, háizi, Children
136, 汉语, hànyǔ, Chinese
137, 汉字, hàn zì, Chinese character
138, 好（形）, hǎo, good
139, 好吃, hǎochī, Yummy
140, 好看, hǎo kàn, good looking
141, 好听, hǎo tīng, pleasant to hear
142, 好玩儿, hǎo wánr, fun; interesting
143, 号, hào, Number/date
144, 喝, hē, drink
145, 和, hé, and
146, 很, hěn, very
147, 后, hòu, back; behind; after; later
148, 后边, hòu biān, behind; back
149, 后天, hòu tiān, day after tomorrow
150, 花（名）, huā, flower
152, 坏, huài, bad
153, 还, huán, return; pay back
154, 回（动）, huí, go back; return
155, 回答, huídá, Answer
156, 回到, huí dào, back to
157, 回家, huí jiā, go home; return home
158, 回来, huí lái, come back; return
159, 回去, huí qù, go back
160, 会（动）, huì, can; be able to
161, 火车, huǒ chē, train
162, 机场, jīchǎng, Airport
163, 机票, jī piào, air ticket
164, 鸡蛋, jīdàn, Egg
165, 几, jǐ, several
166, 记, jì, remember
167, 记得, jìdé, remember
168, 记住, jì zhù, remember; keep in mind
169, 家, jiā, home
170, 家里, jiā lǐ, In the home
171, 家人, jiā rén, family
172, 间, jiān, between; measure word for rooms
174, 见面, jiànmiàn, meet
175, 教, jiāo, teach
176, 叫（动）, jiào, call; be called
177, 教学楼, jiào xué lóu, teaching building
178, 姐姐｜姐, jiě jie ｜ jiě, elder sister
179, 介绍, jièshào, introduce
180, 今年, jīn nián, this year
181, 今天, jīntiān, Today
182, 进, jìn, enter
183, 进来, jìn lái, come in
184, 进去, jìn qù, go in
185, 九, jiǔ, Nine
186, 就, jiù, as soon as; right away; then
187, 觉得, juéde, Think
188, 开, kāi, open
189, 开车, kāi chē, drive; drive a car
190, 开会, kāi huì, have a meeting
191, 开玩笑, kāiwánxiào, Make fun of
192, 看, kàn, see
193, 看病, kàn bìng, see a doctor
194, 看到, kàn dào, see
196, 考, kǎo, test; examine
197, 考试, kǎoshì, Examination
198, 渴, kě, thirsty
199, 课, kè, course
200, 课本, kè běn, textbook
201, 课文, kè wén, text
202, 口, kǒu, mouth
203, 块, kuài, block
204, 快, kuài, fast
205, 来, lái, come
206, 来到, lái dào, come; arrive
207, 老（形）, lǎo, old; aged
208, 老人, lǎo rén, old people; the aged
209, 老师, lǎoshī, Teacher
210, 了, le, past tense marker
211, 累, lèi, tired
212, 冷, lěng, cold
213, 里, lǐ, in
214, 里边, lǐ biān, inside
215, 两（数）, liǎng, two
216, 零｜〇, líng ｜ líng, zero
218, 楼, lóu, floor
219, 楼上, lóu shàng, upstairs
220, 楼下, lóu xià, downstairs
221, 路, lù, road
222, 路口, lù kǒu, intersection; crossing
223, 路上, lù shàng, on the road
224, 妈妈｜妈, mā ma ｜  mā, mom; mother
225, 马路, mǎ lù, road; street
226, 马上, mǎshàng, Right off
227, 吗, ma, auxiliary word
228, 买, mǎi, buy
229, 慢, màn, slow
230, 忙, máng, busy
231, 毛（量）, máo, a fractional unit of money in China
232, 没, méi, no
233, 没关系, méiguānxi, No problem
234, 没什么, méi shén, me It's nothing
235, 没事儿, méi shìr, It's okay
236, 没有, méi yǒu, have not; no
238, 门, mén, door
239, 门口, mén kǒu, doorway
240, 门票, mén piào, tickets
241, 们（朋友们）, men （ péng  yǒu men ）, plural marker for pronouns and a few
242, 米饭, mǐfàn, Steamed Rice
243, 面包, miànbāo, Bread
244, 面条儿, miàn tiáor, noodles
245, 名字, míngzi, Name
246, 明白, míngbai, clear
247, 明年, míng nián, next year
248, 明天, míngtiān, Tomorrow
249, 拿, ná, take
250, 哪, nǎ, which
251, 哪里, nǎ lǐ, where
252, 哪儿, nǎr, where
253, 哪些, nǎ xiē, which
254, 那（代）, nà, that
255, 那边, nà biān, there
256, 那里, nà lǐ, there
258, 那些, nà xiē, those
259, 奶, nǎi, milk
260, 奶奶, nǎinai, grandma
261, 男, nán, Man
262, 男孩儿, nán háir, boy
263, 男朋友, nán péng yǒu, boyfriend
264, 男人, nán ren, man
265, 男生, nán shēng, boy
266, 南, nán, south
267, 南边, nán biān, south; south side
268, 难, nán," hard, difficult"
269, 呢, ne, auxiliary word
270, 能, néng, can
271, 你, nǐ, you
272, 你们, nǐ men, you
273, 年, nián, year
274, 您, nín, you
275, 牛奶, niúnǎi, milk
276, 女, nǚ, woman
277, 女儿, nǚ'ér, daughter
278, 女孩儿, nǚ háir, girl
280, 女人, nǚ ren, woman
281, 女生, nǚ shēng, girl
282, 旁边, pángbiān, Side
283, 跑, pǎo, run
284, 朋友, péngyou, Friend
285, 票, piào, ticket
286, 七, qī, Seven
287, 起, qǐ, get up; start; rise
288, 起床, qǐchuáng, Get up
289, 起来, qǐlái, get up
290, 汽车, qì chē, car
291, 前, qián, front
292, 前边, qián biān, in front
293, 前天, qián tiān, the day before yesterday
294, 钱, qián, money
295, 钱包, qián bāo, wallet
296, 请, qǐng, please
297, 请假, qǐngjià, ask for leave
298, 请进, qǐng jìn, please come in
299, 请问, qǐng wèn, excuse me
300, 请坐, qǐng zuò, please have a seat
302, 去, qù, go
303, 去年, qùnián, Last year
304, 热, rè, heat
305, 人, rén, people
306, 认识, rènshi, know
307, 认真, rènzhēn, earnest
308, 日, rì, date
309, 日期, rìqī, Date
310, 肉, ròu, meat
311, 三, sān, Three
312, 山, shān, mountain
313, 商场, shāng chǎng, mall; shopping mall
314, 商店, shāngdiàn, Shop
315, 上, shàng, upper
316, 上班, shàngbān, go to work
317, 上边, shàng biān, above; on
318, 上车, shàng chē, get on
319, 上次, shàng cì, last time
320, 上课, shàng kè, attend class; have a class
321, 上网, shàngwǎng, Surf the Internet
322, 上午, shàngwǔ, morning
324, 少, shǎo, less
325, 谁, shéi, who
326, 身上, shēn shàng, body; on one's body
327, 身体, shēntǐ, body
328, 什么, shénme, What
329, 生病, shēngbìng, Fall ill
330, 生气, shēngqì, get angry
331, 生日, shēngrì, Birthday
332, 十, shí, Ten
333, 时候, shíhou, time
334, 时间, shíjiān, time
335, 事, shì, thing
336, 试, shì, try
337, 是, shì, yes
338, 是不是, shì bú shì, isn't it?
339, 手, shǒu, hand
340, 手机, shǒujī, Mobile phone
341, 书, shū, book
342, 书包, shū bāo, school bag
343, 书店, shū diàn, bookstore
344, 树, shù, tree
346, 水果, shuǐguǒ, Fruits
347, 睡, shuì, sleep
348, 睡觉, shuìjiào, sleep
349, 说, shuō, speak
350, 说话, shuōhuà, talk
351, 四, sì, Four
352, 送, sòng, give
353, 岁, suì," year, age"
354, 他, tā, he
355, 他们, tā men, they
356, 她, tā, she
357, 她们, tā men, they
358, 太, tài, too
359, 天, tiān, day
360, 天气, tiānqì, weather
361, 听, tīng, hear
362, 听到, tīng dào, hear
363, 听见, tīng jiàn, hear
364, 听写, tīng xiě, dictation; dictate
365, 同学, tóngxué, Classmate
366, 图书馆, túshūguǎn, Library
368, 外边, wài biān, outside
369, 外国, wài guó, foreign country
370, 外语, wài yǔ, foreign language
371, 玩儿, wánr, play
372, 晚, wǎn, late
373, 晚饭, wǎn fàn, dinner
374, 晚上, wǎnshang, Night
375, 网上, wǎng shàng, online
376, 网友, wǎng yǒu, net friend
377, 忘, wàng, forget
378, 忘记, wàngjì, forget
379, 问, wèn, ask
380, 我, wǒ, I
381, 我们, wǒmen, We
382, 五, wǔ, Five
383, 午饭, wǔ fàn, lunch
384, 西, xī, west
385, 西边, xī biān, west; west side
386, 洗, xǐ, wash
387, 洗手间, xǐshǒujiān, Restroom
388, 喜欢, xǐhuan, like
390, 下班, xià bān, get off work
391, 下边, xià biān, below; under
392, 下车, xià chē, get off
393, 下次, xià cì, next time
394, 下课, xià kè, finish class
395, 下午, xiàwǔ, Afternoon
396, 下雨, xiàyǔ, rain
397, 先, xiān, before
398, 先生, xiānsheng, Sir
399, 现在, xiànzài, Now
400, 想, xiǎng, think
401, 小, xiǎo, Small
402, 小孩儿, xiǎo háir, child; kid
403, 小姐, xiǎojiě, Miss
404, 小朋友, xiǎo péng yǒu, child; kid
405, 小时, xiǎoshí, hour
406, 小学, xiǎo xué, primary school; elementary schoo
407, 小学生, xiǎo xué  shēng, elementary school student
408, 笑, xiào, laugh
409, 写, xiě, write
411, 新, xīn, new
412, 新年, xīn nián, New Year
413, 星期, xīngqī, week
414, 星期日, xīng qī rì, Sunday
415, 星期天, xīng qī tiān, Sunday
416, 行, xíng, That's ok
417, 休息, xiūxi, Rest
418, 学, xué, learn; study
419, 学生, xuésheng, Student
420, 学习, xuéxí, Study
421, 学校, xuéxiào, School
422, 学院, xué yuàn, college; academy
423, 要（动）, yào, want
424, 爷爷, yéye, grandpa
425, 也, yě, also
426, 页, yè, page
427, 一, yī, One
428, 衣服, yīfu, clothes
429, 医生, yīshēng, Doctor
430, 医院, yīyuàn, Hospital
431, 一半, yí bàn, half
433, 一块儿, yí kuàir, together
434, 一下儿, yí xiàr, a little bit
435, 一样, yíyàng, equally
436, 一边, yìbiān, One side
437, 一点儿, yīdiǎnr, a little bit
438, 一起, yìqǐ, together
439, 一些, yì xiē, some
440, 用, yòng, use
441, 有, yǒu, have
442, 有的, yǒu de, some
443, 有名, yǒumíng, Famous
444, 有时候｜有时, yǒu shí  hòu ｜ yǒu, sometimes
445, 有（一）些, yǒu （ yì ）  xiē, some
446, 有用, yǒu yòng, useful
447, 右, yòu, right
448, 右边, yòubian, Right
449, 雨, yǔ, rain
450, 元, yuán, element; Yuan
452, 月, yuè, month
453, 再, zài, again
454, 再见, zàijiàn, Bye
455, 在, zài, stay; in process of
456, 在家, zài jiā, at home
457, 早, zǎo, early
458, 早饭, zǎo fàn, breakfast
459, 早上, zǎoshang, Morning
460, 怎么, zěnme, How
461, 站（名）, zhàn, station
462, 找, zhǎo, look for
463, 找到, zhǎo dào, find
464, 这, zhè, Here (here)
465, 这边, zhè biān, here
466, 这里, zhè lǐ, here
467, 这儿, zhèr, here
468, 这些, zhè xiē, these
469, 着, zhe, in process of
470, 真, zhēn, really
471, 真的, zhēn de, really
472, 正（副）, zhèng, just; exactly
474, 知道, zhīdào, know
475, 知识, zhīshi, knowledge
476, 中, zhōng, middle; in
477, 中国, zhōngguó, China
478, 中间, zhōngjiān, Middle
479, 中文, zhōngwén, Chinese
480, 中午, zhōngwǔ, Noon
481, 中学, zhōng xué, middle school
482, 中学生, zhōng xué  shēng, middle School student
483, 重, zhòng, heavy
484, 重要, zhòngyào, important
485, 住, zhù, live
486, 准备, zhǔnbèi, Get ready
487, 桌子, zhuōzi, Table
488, 字, zì," word, character"
489, 子（桌子）, zi （ zhuō zi  ）, noun suffix (table)
490, 走, zǒu," go, walk"
491, 走路, zǒu lù, walk
492, 最, zuì, most
494, 最后, zuìhòu, Last
495, 昨天, zuótiān, Yesterday
496, 左, zuǒ, left
497, 左边, zuǒbian, left
498, 坐, zuò, sit
499, 坐下, zuò xià, sit down
