Index,Chinese,Pingyin,English
309, 卡, kǎ, card
310, 开机, kāi jī, starting up
311, 开心, kāixīn, Happy
312, 开学, kāi xué, school opens; term begins
313, 看法, kànfǎ, view
314, 考生, kǎo shēng, examinee
315, 靠, kào, lean
316, 科, kē, subject; family; section
317, 科学, kēxué, science
318, 可爱, kě'ài, Lovely
319, 可能, kěnéng, Probably
320, 可怕, kěpà, dreadful
321, 可是, kěshì, however
322, 可以, kěyǐ, Sure
324, 刻（量）, kè, a quarter (of an hour)
325, 客人, kèrén, Guest
326, 课堂, kè táng, classroom
327, 空气, kōngqì, atmosphere
328, 哭, kū, cry
329, 快餐, kuài cān, fast food
330, 快点儿, kuài diǎnr, hurry up
331, 快乐, kuàilè, happy
332, 快要, kuài yào, be about to; be going to
333, 筷子, kuàizi, chopsticks
334, 拉, lā, pull
335, 来自, láizì, Come from
336, 蓝, lán, blue
337, 蓝色, lán sè, blue
338, 篮球, lán qiú, basketball
339, 老（副）, lǎo, always; constantly
340, 老（老王）, lǎo  （ lǎo wáng ）, noun prefix (Lao Wang)
341, 老年, lǎo nián, elderly
342, 老朋友, lǎo péng yǒu, old friend
343, 老是, lǎo shì, always; all times
345, 离开, líkāi, leave
346, 礼物, lǐwù, gift
347, 里头, lǐ, tou inside
348, 理想, lǐxiǎng, ideal
349, 例如, lìrú, for example
350, 例子, lì zi, example
351, 脸, liǎn, face
352, 练, liàn, practice; train
353, 练习, liànxí, Practice
354, 凉, liáng, cool
355, 凉快, liángkuai, Pleasantly cool
356, 两（量）, liǎng, a unit of weight (=50 grams)
357, 亮, liàng, bright
358, 辆, liàng, Car (measure word)
359, 零下, líng xià, below zero
360, 留, liú, stay
361, 留下, liú xià, stay; remain
362, 留学生, liú xué shēng, student studying abroad;
363, 流, liú, flow; spread
364, 流利, liúlì, fluent
366, 路边, lù biān, roadside; wayside
367, 旅客, lǚ kè, passenger; traveler
368, 旅行, lǚxíng, travel
369, 旅游, lǚyóu, Tourism
370, 绿, lǜ, green
371, 绿色, lǜ sè, green
372, 卖, mài, sell
373, 满, mǎn, full
374, 满意, mǎnyì, Satisfied
375, 猫, māo, cat
376, 米（量）, mǐ, meter
377, 面¹（名、量）, miàn ¹, (measure word); side; aspect
378, 面²（名）, miàn ², face; surface; outside; side; scale; flour ;
379, 面前, miàn qián, in front of; before
380, 名, míng, name
381, 名称, míng chēng, name; designation
382, 名单, míng dān, list
383, 明星, míngxīng, Star
384, 目的, mùdì, objective
385, 拿出, ná chū, take out
387, 那（连）, nà, then; in that case
388, 那会儿, nà huìr, at that time; then
389, 那么, nà, me like that; in that way
390, 那时候｜那时, nà shí, hou ｜ nà shí at that time
391, 那样, nà yàng, that kind; like that; such
392, 南方, nán fāng, south
393, 难过, nánguò, Sorry
394, 难看, nán kàn, ugly
395, 难受, nánshòu, Uncomfortable
396, 难题, nán tí, problem; difficult problem;
397, 难听, nán tīng, unpleasant to hear
398, 能够, néng gòu, be able to; can
399, 年级, niánjí, grade
400, 年轻, niánqīng, Young
401, 鸟, niǎo, bird
402, 弄, nòng," get, make"
403, 努力, nǔlì, Strive
404, 爬, pá, climb; creep; scramble
405, 爬山, páshān, Mountain climbing
407, 排（名、量）, pái, row; line
408, 排队, páiduì, queue; stand in a line
409, 排球, pái qiú, volleyball
410, 碰, pèng," touch, meet"
411, 碰到, pèng dào, meet; run into; bump into
412, 碰见, pèng jiàn, meet; run into; bump into
413, 篇, piān, piece
414, 便宜, piányi, Cheap
415, 片, piàn, slice
416, 漂亮, piàoliang, Well done!； beautiful
417, 平, píng, flat
418, 平安, píng'ān, sound and safe
419, 平常, píngcháng, Usual
420, 平等, píngděng, equality
421, 平时, píngshí, peacetime
422, 瓶, píng, bottle
423, 瓶子, píngzi, Bottle
424, 普通, pǔ tōng, ordinary; general; average;
425, 普通话, pǔtōnghuà, Mandarin
426, 其他, qítā, Other
428, 骑, qí, ride
429, 骑车, qí chē, cycle
430, 起飞, qǐfēi, take off
431, 气, qì, air; gas; breath
432, 气温, qì wēn, air temperature
433, 千, qiān, thousand
434, 千克, qiān kè, kilogram
435, 前年, qián nián, the year before last
436, 墙, qiáng, wall
437, 青年, qīng nián, youth; young
438, 青少年, qīngshàonián, Teenagers
439, 轻, qīng, light
440, 清楚, qīngchu, clear
441, 晴, qíng, Sunny
442, 晴天, qíng tiān, sunny day
443, 请客, qǐng kè, stand treat; entertain
444, 请求, qǐngqiú, request
445, 秋天, qiū tiān, fall; autumn
446, 求, qiú, request; beg; entreat; beseech
447, 球场, qiú chǎng, court; field
448, 球队, qiú duì, team
450, 取, qǔ, take
451, 取得, qǔ dé, acquire; gain; obtain
452, 全, quán, whole; entire; complete
453, 全部, quánbù, whole
454, 全国, quán guó, nationwide; entire country
455, 全家, quán jiā, whole family
456, 全年, quán nián, annual; yearly
457, 全身, quán shēn, whole body
458, 全体, quán tǐ, all; entire; whole
459, 然后, ránhòu, Then
460, 让, ràng, Give Way
461, 热情, rèqíng, Enthusiasm
462, 人口, rénkǒu, population
463, 人们, rén men, people
464, 人数, rén shù, number of people
465, 认为, rènwéi, think
466, 日报, rì bào," daily, journal"
467, 日子, rìzi," life, days"
468, 如果, rúguǒ, If
469, 入口, rùkǒu, Entrance
470, 商量, shāngliang, discuss
472, 上周, shàng zhōu, last week
473, 少数, shǎo shù, small number; few; minority
474, 少年, shào nián, juvenile; young person
475, 身边, shēn biān, at [by] one's side
476, 什么样, shén, me yàng what kind
477, 生（动）, shēng, give birth; be born
478, 生词, shēng cí, new word
479, 生活, shēnghuó, Life
480, 声音, shēngyīn, voice
481, 省（名）, shěng, province
482, 省（动）, shěng, economize; save; omit; leave
483, 十分, shífēn, very
484, 实际, shíjì, Actual
485, 实习, shíxí, Internship
486, 实现, shíxiàn, Realization
487, 实在, shízài, real; indeeed
488, 实在, shízai, done carefully
489, 食物, shíwù, food
490, 使用, shǐyòng, Use
491, 市, shì, city
493, 事情, shìqing, Thing
494, 收, shōu, collect
495, 收到, shōu dào, receive; obtain
496, 收入, shōurù, income
497, 手表, shǒubiǎo, Wrist Watch
498, 受到, shòudào, Suffer
499, 舒服, shūfu, comfortable
500, 熟, shú, ripe; cooked; familiar; skilled
501, 数, shǔ, to count
502, 数字, shùzì, number
503, 水平, shuǐpíng, level
504, 顺利, shùnlì, smoothly
505, 说明, shuōmíng, Explain
506, 司机, sījī, Driver
507, 送到, sòng dào, sent to (place)
508, 送给, sòng gěi, give to (somebody or
509, 算, suàn, count; calculate
510, 虽然, suī rán, although; though
511, 随便, suíbiàn, casual
512, 随时, suíshí, at any time
514, 所有, suǒyǒu, All
515, 它, tā, it
516, 它们, tā men, they
517, 太太, tàitai, Ma'am
518, 太阳, tàiyáng, sun
519, 态度, tàidu, attitude
520, 讨论, tǎolùn, discuss
521, 套, tào, set
522, 特别, tèbié, Especially
523, 特点, tèdiǎn, Characteristic
524, 疼, téng, hurt
525, 提, tí, carry
526, 提出, tí chū, put forward; propose; raise
527, 提到, tí dào, mention; refer to
528, 提高, tígāo," increase, promote"
529, 题, tí, topic
530, 体育, tǐyù, Sports
531, 体育场, tǐ yù chǎng, stadium
532, 体育馆, tǐ yù guǎn, stadium; gymnasium; gym
533, 天上, tiān shàng, the sky; heaven
534, 条, tiáo, strip
536, 听讲, tīng jiǎng, attend a lecture; listen to a talk
537, 听说, tīng shuō, be told; hear of
538, 停, tíng, Stop
539, 停车, tíng chē, park
540, 停车场, tíng chē chǎng, parking lot
541, 挺（副）, tǐng, very; quite; pretty; rather
542, 挺好, tǐng hǎo, very good; not half bad
543, 通, tōng, through; common; all;
544, 通过, tōngguò, adopt
545, 通知, tōngzhī, notice
546, 同时, tóngshí, meanwhile
547, 同事, tóngshì, Colleague
548, 同样, tóng yàng, same
549, 头（名、量）, tóu, head; beginning or end; side;
550, 头（里头）, tóu, suffix (inside)
551, 头发, tóufa, Hair
552, 图片, tú piàn, picture; photograph
553, 推, tuī, push
554, 腿, tuǐ, leg
556, 外卖, wài mài, takeaway; take out
557, 完, wán, finish
558, 完成, wánchéng, complete
559, 完全, wánquán, completely
560, 晚安, wǎn ān, good night
561, 晚报, wǎn bào, evening paper; evening news
562, 晚餐, wǎn cān, dinner; supper
563, 晚会, wǎn huì, evening party
564, 碗, wǎn, bowl
565, 万, wàn, ten thousand
566, 网, wǎng, net; network
567, 网球, wǎngqiú, Tennis
568, 网站, wǎngzhàn, website
569, 往, wǎng, to
570, 为, wèi, by
571, 为什么, wèishénme, Why
572, 位, wèi, person (measure word)
573, 味道, wèidào, taste
574, 喂（叹）, wèi, hello; hey
575, 温度, wēndù, temperature
576, 闻, wén, smell
578, 问题, wèntí, problem
579, 午餐, wǔ cān, lunch
580, 午睡, wǔ shuì, nap
581, 西北, xī běi, northwest
582, 西餐, xī cān, western food
583, 西方, xī fāng, west
584, 西南, xī nán, southwest
585, 西医, xī yī, western medicine
586, 习惯, xíguàn, Habit
587, 洗衣机, xǐ yī jī, washing machine
588, 洗澡, xǐzǎo, Take a shower
589, 下（量）, xià, (measure word)
590, 下雪, xià xuě, snow; snowing
591, 下周, xià zhōu, next week
592, 夏天, xià tiān, summer
593, 相同, xiāngtóng, identical
594, 相信, xiāngxìn, believe
595, 响, xiǎng, loud
596, 想到, xiǎng dào, think of; call to mind; have at
597, 想法, xiǎng fǎ, idea; opinion;thought
599, 向, xiàng, towards
600, 相机, xiàng jī, camera
601, 像（动）, xiàng, be like; resemble; look like; such
602, 小（小王）, xiǎo  （ xiǎo wáng  ）, prefix (Xiao Wang)
603, 小声, xiǎo shēng, in a low voice; in whispers
604, 小时候, xiǎo shí, hou in one's childhood; when one
605, 小说, xiǎoshuō, Novel
606, 小心, xiǎoxīn, Look out
607, 小组, xiǎo zǔ, group
608, 校园, xiào yuán, campus; schoolyard
609, 校长, xiàozhǎng, Principal
610, 笑话, xiàohua, joke
611, 笑话儿, xiào huàr, joke
612, 鞋, xié, shoes
613, 心里, xīn lǐ, in the heart; at heart
614, 心情, xīnqíng, mood
616, 新闻, xīnwén, news
617, 信（名）, xìn, letter; mail; faith
618, 信号, xìnhào, signal
619, 信息, xìnxī, information
620, 信心, xìnxīn, confidence
621, 信用卡, xìnyòngkǎ, Credit card
622, 星星, xīng, xing star
623, 行动, xíngdòng, Get some action
624, 行人, xíngrén, pedestrian
625, 行为, xíngwéi, behavior
626, 姓, xìng, surname
627, 姓名, xìng míng, full name
628, 休假, xiū jià, have a holiday; take a vacation;
629, 许多, xǔduō, many
630, 选, xuǎn, choose; select; pick
631, 学期, xuéqī, Semester
632, 雪, xuě, Snow
633, 颜色, yánsè, colour
634, 眼, yǎn, eye
635, 眼睛, yǎnjing, Eye
637, 样子, yàngzi, A look
638, 要求, yāoqiú, Requirement
639, 药, yào, drug
640, 药店, yào diàn, pharmacy
641, 药片, yào piàn, pill
642, 药水, yào shuǐ, liquid medicine; potion
643, 也许, yěxǔ, perhaps
644, 夜, yè, night
645, 夜里, yè lǐ, at night
646, 一部分, yí bù fèn, a part; a portion
647, 一定, yídìng, Certain
648, 一共, yígòng, Altogether
649, 一会儿（副）, yí huìr, awhile; in a moment; presently
650, 一路平安, yí lù píng ān, safe journey; have a pleasant
651, 一路顺风, yí lù shùn fēng, Bon voyage
652, 已经, yǐjīng, Already
653, 以后, yǐ hòu, after; later on; afterwards; later
654, 以前, yǐqián, before
655, 以上, yǐ shàng, above; over
657, 以为, yǐwéi, Think
658, 以下, yǐ xià, below; under
659, 椅子, yǐzi, Chair
660, 一般, yìbān, commonly
661, 一点点, yì diǎn diǎn, a little bit
662, 一生, yì shēng, lifetime; all one's life
663, 一直, yìzhí, always
664, 亿, yì, Billion
665, 意见, yìjiàn, Opinion
666, 意思, yìsi, Meaning
667, 因为, yīn wèi, because
668, 阴, yīn, Yin
669, 阴天, yīn tiān, cloudy day; overcast sky
670, 音节, yīn jié, syllable
671, 音乐, yīnyuè, Music
672, 音乐会, yīn yuè huì, concert
673, 银行, yínháng, Bank
674, 银行卡, yín háng kǎ, bank card
675, 应该, yīnggāi, Should
676, 英文, yīng wén, English
677, 英语, yīng yǔ, English
679, 影响, yǐngxiǎng, Influence
680, 永远, yǒngyuǎn, forever
681, 油, yóu, oil; fat; grease
682, 游客, yóu kè, tourist; visitor
683, 友好, yǒuhǎo, friendly
684, 有空儿, yǒu kòngr, be free; at leisure
685, 有人, yǒu rén, someone; there's someone
686, 有（一）点儿, yǒu （ yì ）  diǎnr, a little bit
687, 有意思, yǒu yì, si interesting; significant
688, 又, yòu, also
689, 鱼, yú, fish
690, 语言, yǔyán, language
691, 原来, yuánlái, Original; formerly
692, 原因, yuányīn, Reason
693, 院, yuàn, yard; compound; courtyard;
694, 院长, yuàn zhǎng, dean
695, 院子, yuàn zi, courtyard; yard
696, 愿意, yuànyì, Be willing
697, 月份, yuè fèn, month
699, 越, yuè, The more
700, 越来越, yuè lái yuè, more and more
701, 云, yún, cloud
702, 运动, yùndòng, motion
703, 咱, zán, we; us
704, 咱们, zánmen, We
705, 脏, zāng, dirty
706, 早餐, zǎo cān, breakfast
707, 早晨, zǎo chén, morning
708, 早就, zǎo jiù, long since
709, 怎么办, zěn, me bàn how to; what to do
710, 怎么样, zěnmeyàng, How about
711, 怎样, zěn yàng, how
712, 占, zhàn, occupy
713, 站（动）, zhàn, stand; stop; halt
714, 站住, zhàn zhù, stop; halt
715, 长, zhǎng, grow
716, 长大, zhǎng dà, grow up
717, 找出, zhǎo chū, find out
718, 照顾, zhàogù, look after
719, 照片, zhàopiàn, Photo
721, 这么, zhè, me so; such; this way; like this
722, 这时候｜这时, zhè shí, hou ｜ zhè shí at this moment; at this time
723, 这样, zhè yàng, so; such; like this; this way
724, 真正, zhēnzhèng, real
725, 正常, zhèngcháng, normal
726, 正好, zhènghǎo, Just right
727, 正确, zhèngquè, Correct
728, 正是, zhèng shì, exactly
729, 直接, zhíjiē, direct
730, 只, zhǐ, only; just; simply; merely
731, 只能, zhǐ néng, can only
732, 只要, zhǐyào, as long as
733, 纸, zhǐ, paper
734, 中餐, zhōng cān, Chinese food
735, 中级, zhōng jí, intermediate; middle -level
736, 中年, zhōng nián, middle age; middle -aged
737, 中小学, zhōng xiǎo xué, elementary and middle school
738, 中心, zhōngxīn, core
739, 中医, zhōng yī, Chinese Medicine
741, 重视, zhòngshì, attach importance to
742, 周, zhōu, week
743, 周末, zhōumò, Weekend
744, 周年, zhōunián, anniversary
745, 主人, zhǔrén, master
746, 主要, zhǔyào, main
747, 住房, zhù fáng, housing; lodging
748, 住院, zhù yuàn, be in hospital; be hospitalized
749, 装, zhuāng, pretend
750, 准确, zhǔnquè, accuracy
751, 自己, zìjǐ," Own, self"
752, 自行车, zìxíngchē, Bicycle
753, 自由, zìyóu, free
754, 字典, zì diǎn, dictionary
755, 走过, zǒu guò, walk through; pass by
756, 走进, zǒu jìn, walk in
757, 走开, zǒu kāi, go away
758, 租, zū, rent
759, 组, zǔ, group
760, 组成, zǔchéng, Form
761, 组长, zǔ zhǎng, group leader
763, 最近, zuìjìn, Lately
764, 作家, zuòjiā, writer
765, 作文, zuòwén, composition
766, 作业, zuòyè," task, homework"
767, 作用, zuòyòng, Effect
768, 座, zuò, Seat
769, 座位, zuòwèi, seat
770, 做到, zuò dào, accomplish; achieve
771, 做法, zuò fǎ, practice; behavior; way of doing
